Iteration: 2530/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2540/5000	 MSE functional: 0.0000	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2550/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2560/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2570/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2580/5000	 MSE functional: 0.0000	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2590/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2600/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2610/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2620/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 2630/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2640/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2650/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2660/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2670/5000	 MSE functional: 0.0000	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2680/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2690/5000	 MSE functional: 0.0000	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2700/5000	 MSE functional: 0.0000	 MSE terminal: 0.0000	 Total Loss: 0.0001
